,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Year,Month,Day_Perc_Change,Trend,14_day_MA,14_day_STD,Upper Band,Lower Band
2017-11-30,TCS,EQ,2658.15,2653.65,2666.95,2623.0,2635.0,2637.0,2641.37,2149981,5678900013.45,86807,1464976,68.14,2017,11,-0.7956661587946501,Slight negative,2694.6750000000006,31.98318518559214,2758.641370371185,2630.708629628816
2017-12-01,TCS,EQ,2637.0,2635.0,2668.0,2621.5,2630.0,2629.95,2647.75,515572,1365104150.75,37693,285458,55.37,2017,12,-0.26734926052333075,Slight or No Change,2685.4607142857153,30.59338904562865,2746.6474923769724,2624.273936194458
2017-12-04,TCS,EQ,2629.95,2622.0,2658.5,2602.95,2630.0,2632.35,2629.84,629552,1655623148.7,37609,342423,54.39,2017,12,0.09125648776593387,Slight or No Change,2679.5857142857153,32.41064894190882,2744.407012169533,2614.7644164018975
2017-12-05,TCS,EQ,2632.35,2631.0,2651.7,2628.15,2633.0,2635.55,2641.13,583957,1542308264.4,33907,386120,66.12,2017,12,0.12156438163619665,Slight or No Change,2674.603571428572,33.49657539491617,2741.5967222184045,2607.61042063874
2017-12-06,TCS,EQ,2635.55,2636.0,2645.0,2612.85,2635.0,2633.3,2627.47,703759,1849107519.6,61422,534381,75.93,2017,12,-0.08537117489707535,Slight or No Change,2666.5071428571437,27.988781111944817,2722.484705081033,2610.529580633254
2017-12-07,TCS,EQ,2633.3,2632.3,2645.95,2615.0,2617.95,2617.25,2623.62,663150,1739856624.75,52980,503427,75.91,2017,12,-0.6095013860935028,Slight negative,2660.0750000000007,28.239128268859588,2716.55325653772,2603.5967434622817
2017-12-08,TCS,EQ,2617.25,2618.0,2645.0,2597.0,2600.0,2601.5,2621.69,692774,1816237017.45,67356,443099,63.96,2017,12,-0.6017766739898733,Slight negative,2652.792857142858,29.317957591945618,2711.428772326749,2594.156941958967
2017-12-11,TCS,EQ,2601.5,2608.35,2672.65,2608.35,2670.0,2661.1,2635.45,504001,1328268598.35,47999,298309,59.19,2017,12,2.290985969632908,Positive,2651.94642857143,28.85870395489945,2709.663836481229,2594.229020661631
2017-12-12,TCS,EQ,2661.1,2661.0,2662.0,2607.4,2609.55,2612.15,2624.14,941123,2469638199.8,57531,622120,66.1,2017,12,-1.8394648829431424,Negative,2647.0535714285725,29.41927981317278,2705.892131054918,2588.215011802227
2017-12-13,TCS,EQ,2612.15,2611.4,2651.45,2601.0,2633.5,2628.4,2632.07,1480729,3897385719.95,48513,1169964,79.01,2017,12,0.6220929119690632,Slight positive,2643.2785714285724,28.052798532320775,2699.384168493214,2587.1729743639307
2017-12-14,TCS,EQ,2628.4,2632.0,2632.0,2531.1,2558.2,2557.8,2558.8,2752075,7041999539.3,118270,1987921,72.23,2017,12,-2.686044742048388,Negative,2633.9750000000013,33.19034700957273,2700.3556940191465,2567.594305980856
2017-12-15,TCS,EQ,2557.8,2563.75,2584.45,2536.85,2543.95,2545.6,2552.92,1359069,3469591950.6,97835,934401,68.75,2017,12,-0.4769723981546736,Slight or No Change,2623.957142857144,37.246485932047115,2698.450114721238,2549.4641709930497
2017-12-18,TCS,EQ,2545.6,2537.0,2588.95,2494.35,2576.6,2580.5,2548.56,1090332,2778774407.9,71724,588034,53.93,2017,12,1.370993086109373,Positive,2616.4714285714294,34.391393793119526,2685.2542161576685,2547.6886409851904
2017-12-19,TCS,EQ,2580.5,2576.0,2597.8,2564.7,2577.4,2575.3,2583.18,900976,2327386545.0,76762,633455,70.31,2017,12,-0.20151133501258303,Slight or No Change,2610.5535714285725,33.79084118222924,2678.135253793031,2542.971889064114
2017-12-20,TCS,EQ,2575.3,2582.0,2592.75,2550.65,2592.0,2588.95,2573.6,788785,2030019887.05,68386,530550,67.26,2017,12,0.5300353356890275,Slight positive,2607.1214285714295,33.33519573552414,2673.791820042478,2540.451037100381
2017-12-21,TCS,EQ,2588.95,2587.0,2608.0,2580.05,2582.1,2595.7,2595.09,646824,1678569250.7,40095,439879,68.01,2017,12,0.2607234593174912,Slight or No Change,2604.6750000000006,32.7831731580108,2670.2413463160224,2539.108653683979
2017-12-22,TCS,EQ,2595.7,2604.0,2663.9,2590.2,2640.0,2646.75,2636.33,1832832,4831948536.4,85852,757097,41.31,2017,12,1.9667141811457567,Positive,2605.7035714285726,33.92430751113896,2673.5521864508505,2537.8549564062946
2017-12-26,TCS,EQ,2646.75,2686.0,2689.75,2631.6,2650.35,2649.45,2653.61,1087893,2886838516.3,52053,517570,47.58,2017,12,0.10201190138849904,Slight or No Change,2606.696428571429,35.04974741644329,2676.7959234043155,2536.5969337385422
2017-12-27,TCS,EQ,2649.45,2649.45,2658.5,2610.5,2617.0,2619.9,2632.21,369642,972974332.2,20483,142233,38.48,2017,12,-1.1153258223404738,Negative,2605.7392857142863,34.44511899424793,2674.629523702782,2536.8490477257906
2017-12-28,TCS,EQ,2619.9,2608.8,2653.5,2605.65,2631.0,2626.95,2630.44,1302544,3426257490.45,47992,885214,67.96,2017,12,0.26909424023817685,Slight or No Change,2606.432142857143,34.79029267318891,2676.012728203521,2536.851557510765
2017-12-29,TCS,EQ,2626.95,2623.1,2708.9,2618.55,2700.0,2701.2,2677.92,1304771,3494069339.55,51608,757663,58.07,2017,12,2.8264717638325716,Positive,2613.5535714285716,42.95019684868862,2699.453965125949,2527.6531777311943
2018-01-01,TCS,EQ,2701.2,2682.3,2694.8,2635.0,2650.0,2645.6,2654.94,675880,1794417716.9,19464,330691,48.93,2018,1,-2.058344439508364,Negative,2612.4464285714284,41.81507118936747,2696.0765709501634,2528.8162861926935
2018-01-02,TCS,EQ,2645.6,2660.0,2669.6,2620.2,2631.0,2631.2,2641.06,960145,2535800011.0,46813,555820,57.89,2018,1,-0.5442999697611195,Slight negative,2613.8071428571425,42.11357289495234,2698.034288647047,2529.579997067238
2018-01-03,TCS,EQ,2631.2,2632.0,2669.0,2631.2,2639.0,2638.65,2649.21,628560,1665185619.4,32104,361072,57.44,2018,1,0.2831407722712065,Slight or No Change,2614.5392857142856,42.474336951281465,2699.4879596168485,2529.5906118117227
2018-01-04,TCS,EQ,2638.65,2650.0,2662.0,2640.0,2650.0,2657.1,2649.94,456541,1209807238.4,32647,264561,57.95,2018,1,0.6992211926553304,Slight positive,2621.6321428571423,40.516518982262184,2702.6651808216666,2540.599104892618
2018-01-05,TCS,EQ,2657.1,2650.0,2699.5,2650.0,2695.0,2689.2,2684.95,576853,1548821282.25,30836,318083,55.14,2018,1,1.2080840013548588,Positive,2631.889285714285,37.878602537847954,2707.646490789981,2556.1320806385893
2018-01-08,TCS,EQ,2689.2,2700.0,2726.85,2681.85,2708.8,2714.4,2709.74,621110,1683046447.75,43815,345599,55.64,2018,1,0.937081659973238,Slight positive,2641.4535714285707,40.70414108722683,2722.8618536030244,2560.045289254117
2018-01-09,TCS,EQ,2714.4,2715.0,2721.0,2676.55,2708.95,2709.0,2703.56,1074698,2905511380.05,47403,612650,57.01,2018,1,-0.19893899204244114,Slight or No Change,2651.0035714285705,39.660232282802056,2730.3240359941747,2571.6831068629663
2018-01-10,TCS,EQ,2709.0,2711.0,2816.0,2694.65,2803.0,2806.6,2763.3,1682925,4650423556.8,70764,699460,41.56,2018,1,3.6028054632705864,Among top gainers,2666.5499999999993,53.65420981404707,2773.8584196280935,2559.241580371905
2018-01-11,TCS,EQ,2806.6,2810.0,2821.9,2782.2,2792.5,2790.5,2796.58,1260524,3525161028.5,71604,578244,45.87,2018,1,-0.5736478301147319,Slight negative,2680.4642857142853,58.87237966918497,2798.2090450526553,2562.7195263759154
2018-01-12,TCS,EQ,2790.5,2805.0,2805.0,2740.55,2769.9,2776.35,2764.28,1680157,4644422667.9,90884,472438,28.12,2018,1,-0.5070775846622522,Slight negative,2689.721428571428,63.19392228044879,2816.1092731323256,2563.3335840105306
2018-01-15,TCS,EQ,2776.35,2777.15,2808.0,2735.05,2737.4,2746.1,2768.32,728607,2017014657.0,49926,394675,54.17,2018,1,-1.0895600338574063,Negative,2696.6249999999995,63.733012065362765,2824.091024130725,2569.158975869274
2018-01-16,TCS,EQ,2746.1,2756.0,2861.65,2750.55,2860.0,2850.85,2834.5,2133876,6048464571.5,85776,639155,29.95,2018,1,3.8145005644368397,Among top gainers,2713.1214285714277,71.73317737465946,2856.5877833207464,2569.655073822109
2018-01-17,TCS,EQ,2850.85,2870.0,2925.0,2862.15,2895.0,2888.95,2900.36,2140403,6207945519.55,94873,965845,45.12,2018,1,1.3364435168458533,Positive,2731.8357142857135,81.08896450711295,2894.0136432999393,2569.6577852714877
2018-01-18,TCS,EQ,2888.95,2897.0,2933.0,2868.05,2926.55,2918.2,2896.35,1104739,3199711974.1,51786,568379,51.45,2018,1,1.0124785821838291,Positive,2747.3357142857135,94.42541303258523,2936.186540350884,2558.484888220543
2018-01-19,TCS,EQ,2918.2,2930.55,2982.0,2903.65,2974.85,2959.3,2930.77,910000,2667000913.1,44039,436952,48.02,2018,1,1.4084024398602013,Positive,2769.742857142857,105.04930867334619,2979.841474489549,2559.6442397961646
2018-01-22,TCS,EQ,2959.3,2961.0,3134.7,2922.0,3090.0,3116.4,3052.16,2183555,6664565989.3,97757,663651,30.39,2018,1,5.3086878653735745,Among top gainers,2804.4,132.32275518013657,3069.045510360273,2539.754489639727
2018-01-23,TCS,EQ,3116.4,3114.95,3142.35,3090.05,3097.9,3102.0,3112.03,1619805,5040878629.55,68887,705309,43.54,2018,1,-0.4620716211012788,Slight or No Change,2837.496428571428,145.01419488116957,3127.524818333767,2547.468038809089
2018-01-24,TCS,EQ,3102.0,3090.0,3259.05,3082.65,3174.95,3174.6,3189.59,2810769,8965187783.2,111512,862385,30.68,2018,1,2.3404255319148914,Positive,2874.460714285714,160.6107204710217,3195.6821552277574,2553.2392733436704
2018-01-25,TCS,EQ,3174.6,3175.0,3179.8,3081.0,3133.0,3121.05,3123.06,1916922,5986662027.05,72537,925615,48.29,2018,1,-1.6868266868266812,Negative,2905.307142857143,163.73269944678975,3232.7725417507227,2577.841743963563
2018-01-29,TCS,EQ,3121.05,3131.4,3225.0,3122.0,3199.25,3198.85,3196.14,1570530,5019638549.6,94269,832172,52.99,2018,1,2.492750837058022,Positive,2939.910714285714,171.2998565028968,3282.5104272915078,2597.3110012799207
